form	lemma	upos	freq.samp	errtype	is_correct	rand_int	groupID	BAMTINOF
teže	teči	ADV	1	correct	TRUE			
potém	poté	NOUN	1	lemmupos	FALSE	72	lemmupos-1	
vari	variti	VERB	1	lemma	FALSE	32	lemma-1	
dospem	dospe	NOUN	1	lemmupos	FALSE	66	lemmupos-1	
vpraša	vprašati	VERB	3	features	FALSE	1	features-3	
toge	tog	NOUN	1	lemma	FALSE	108	lemma-1	
odgovorili	odgovoriti	VERB	1	features	FALSE	10	features-1	
samomorilca	samomorilec	NOUN	1	features	FALSE	49	features-1	
žalosti	žalost	NOUN	1	features	FALSE	54	features-1	
nemožno	nemožno	ADV	1	lemma	FALSE	98	lemma-1	
megla	meči	VERB	1	lemmupos	FALSE	80	lemmupos-1	
hibe	hiba	NOUN	1	correct	TRUE			
rihbaldu	rihbald	PROPN	1	correct	TRUE			
posnažiti	posnažiti	VERB	1	correct	TRUE			
pravim	praviti	VERB	1	features	FALSE	12	features-1	
vnel	vneti	VERB	1	lemma	FALSE	115	lemma-1	
grdo	grd	ADJ	1	correct	TRUE			
ustni	usten	ADJ	1	lemmupos	FALSE	65	lemmupos-1	
uže	uža	ADV	1	lemmupos	FALSE	78	lemmupos-1	
zofo	zofa	NOUN	1	correct	TRUE			
nijste	nijsti	NOUN	1	lemmupos	FALSE	48	lemmupos-1	
vega	vi	PROPN	1	lemma	FALSE	134	lemma-1	
lepoto	lepot	NOUN	1	lemma	FALSE	89	lemma-1	
rajši	rad	ADJ	1	lemmupos	FALSE	21	lemmupos-1	
služkinji	služkinja	ADJ	1	upos	FALSE	59	upos-1	
jako	jako	ADV	3	correct	TRUE			
reži	režati	VERB	1	features	FALSE	86	features-1	
kirasirski	kirasirski	ADJ	1	correct	TRUE			
ovoji	ovo	NOUN	1	lemma	FALSE	82	lemma-1	
preproste	prepriti	VERB	1	lemmupos	FALSE	9	lemmupos-1	
hipu	hip	NOUN	1	correct	TRUE			
dene	dena	ADJ	1	lemmupos	FALSE	5	lemmupos-1	
jeden	jeden	ADJ	1	lemmupos	FALSE	37	lemmupos-1	
samoto	samota	NOUN	1	correct	TRUE			
žun	žun	PROPN	1	correct	TRUE			
živalici	živalica	NOUN	1	features	FALSE	15	features-1	
zažarel	zažareti	VERB	1	correct	TRUE			
kuha	kuh	VERB	1	lemma	FALSE	62	lemma-1	
jezno	jezno	ADJ	1	upos	FALSE	57	upos-1	
korenine	korenin	NOUN	1	lemma	FALSE	139	lemma-1	
krotki	krotek	ADJ	1	features	FALSE	92	features-1	
gradič	gradič	PRON	1	upos	FALSE	36	upos-1	
posestvo	posestvo	NOUN	1	lemma	FALSE	80	lemma-1	
slično	slično	ADV	1	correct	TRUE			
jezu	jez	NOUN	1	correct	TRUE			
pasjaku	pasjak	PROPN	1	correct	TRUE			
ranjce	ranjec	NOUN	1	lemmupos	FALSE	45	lemmupos-1	
slep	slep	NOUN	1	upos	FALSE	80	upos-1	
molči	molčiti	VERB	1	lemma	FALSE	46	lemma-1	
svetlobi	svetloba	NOUN	1	correct	TRUE			
ogrsko	ogrska	PROPN	1	correct	TRUE			
tatovskej	tatovskej	PRON	1	lemmupos	FALSE	30	lemmupos-1	
roboto	robota	NOUN	1	features	FALSE	52	features-1	
srčno	srčen	ADJ	1	correct	TRUE			
nesli	nesti	VERB	1	features	FALSE	20	features-1	
skrbmi	skrb	NOUN	1	features	FALSE	45	features-1	
vender	vender	ADJ	1	lemmupos	FALSE	123	lemmupos-1	
skoro	skoro	ADV	1	upos	FALSE	49	upos-1	
podstrešja	podstrešje	NOUN	1	correct	TRUE			
pol	pol	ADV	1	upos	FALSE	31	upos-1	
razkropljena	razkropljen	ADJ	1	correct	TRUE			
profesorjevo	profesorjev	NOUN	1	upos	FALSE	27	upos-1	
prebito	prebita	NOUN	1	lemmupos	FALSE	122	lemmupos-1	
veslarice	veslarica	NOUN	1	correct	TRUE			
spozabi	spozabiti	VERB	1	correct	TRUE			
ugovarjal	ugovarjati	VERB	1	correct	TRUE			
umikale	umikati	VERB	1	features	FALSE	24	features-1	
arabela	arabeti	VERB	1	lemmupos	FALSE	102	lemmupos-1	
kupec	kupec	NOUN	1	correct	TRUE			
zaupljiva	zaupljivati	ADJ	1	lemma	FALSE	31	lemma-1	
onega	on	ADJ	1	lemmupos	FALSE	84	lemmupos-1	
naglici	naglica	NOUN	1	correct	TRUE			
pešala	pešati	VERB	1	correct	TRUE			
ustrašil	ustrašiti	VERB	1	correct	TRUE			
konopi	konopiti	NOUN	1	lemma	FALSE	96	lemma-1	
odgovori	odgovoriti	NOUN	1	upos	FALSE	51	upos-1	
strogo	strogo	NOUN	1	upos	FALSE	44	upos-1	
naroči	naročiti	VERB	1	correct	TRUE			
uže	uže	ADV	1	lemmupos	FALSE	42	lemmupos-1	
miklavža	miklavžati	NOUN	1	lemma	FALSE	3	lemma-1	
slavljen	slavljen	ADJ	1	correct	TRUE			
vrstnice	vrstnica	NOUN	1	features	FALSE	75	features-1	
prikovano	prikovan	ADJ	1	correct	TRUE			
svetopolkov	svetopolk	PROPN	1	lemmupos	FALSE	126	lemmupos-1	
simpatičen	simpatičen	ADJ	1	correct	TRUE			
pomazati	pomazati	VERB	1	correct	TRUE			
prihrul	prihruti	VERB	1	correct	TRUE			
postav	postava	NOUN	1	correct	TRUE			
znanca	znanec	NOUN	2	features	FALSE	1	features-2	
bodisi	bodis	NOUN	1	lemmupos	FALSE	130	lemmupos-1	
bodi	biti	VERB	2	features	FALSE	2	features-2	
mozolovih	mozolov	NOUN	1	upos	FALSE	19	upos-1	
poglavij	poglavje	NOUN	1	features	FALSE	32	features-1	
mešetar	mešetar	NOUN	1	correct	TRUE			
deje	deja	VERB	1	lemma	FALSE	133	lemma-1	
gospodu	gospodu	ADV	1	lemmupos	FALSE	95	lemmupos-1	
drobnem	droben	ADJ	1	correct	TRUE			
zastopali	zastopati	VERB	1	correct	TRUE			
levej	levej	ADV	1	lemmupos	FALSE	116	lemmupos-1	
vrag	vraga	NOUN	1	lemma	FALSE	18	lemma-1	
postajal	postajati	VERB	1	correct	TRUE			
zastonj	zastonj	PRON	1	lemmupos	FALSE	92	lemmupos-1	
travo	trava	NOUN	1	correct	TRUE			
dojence	dojenca	NOUN	1	lemma	FALSE	88	lemma-1	
hotèč	hotèč	ADV	1	lemma	FALSE	55	lemma-1	
sarkastično	sarkastično	ADV	1	correct	TRUE			
vas	vas	PRON	1	lemma	FALSE	74	lemma-1	
sporočijo	sporočati	VERB	1	lemma	FALSE	41	lemma-1	
gimnazijalec	gimnazijalec	NOUN	1	lemma	FALSE	24	lemma-1	
utrjene	utrjen	ADJ	1	features	FALSE	43	features-1	
li	lo	ADV	1	lemmupos	FALSE	63	lemmupos-1	
lužnik	lužnik	NOUN	1	upos	FALSE	14	upos-1	
uiti	uiti	VERB	1	correct	TRUE			
radovedna	radoveden	PROPN	1	upos	FALSE	76	upos-1	
samuel	samuel	PROPN	1	correct	TRUE			
lahkomišljen	lahkomišljen	ADJ	1	correct	TRUE			
hudodelnika	hudodelnik	NOUN	1	features	FALSE	69	features-1	
tù	tù	NOUN	1	lemmupos	FALSE	75	lemmupos-1	
ljubkovanja	ljubkovanje	NOUN	1	correct	TRUE			
rihbald	rihbald	PROPN	1	correct	TRUE			
ž	ž	NOUN	1	lemmupos	FALSE	74	lemmupos-1	
zbledi	zblediti	VERB	1	lemma	FALSE	146	lemma-1	
podvrženo	podvržen	ADJ	1	correct	TRUE			
nij	nij	X	1	lemma	FALSE	35	lemma-1	
koketni	koketen	ADJ	1	correct	TRUE			
pomoru	pomor	NOUN	1	correct	TRUE			
skrivali	skrivati	VERB	1	correct	TRUE			
oslabela	oslabeti	VERB	1	correct	TRUE			
predrami	predra	NOUN	1	lemmupos	FALSE	8	lemmupos-1	
vojvodinja	vojvodinja	NOUN	1	correct	TRUE			
najemnik	najemnik	NOUN	1	correct	TRUE			
hvaležnosti	hvaležnost	NOUN	1	correct	TRUE			
meže	meža	NOUN	1	correct	TRUE			
esma	esma	NOUN	1	lemmupos	FALSE	110	lemmupos-1	
sveti	sveti	VERB	1	lemma	FALSE	118	lemma-1	
jej	o	PRON	1	lemma	FALSE	135	lemma-1	
povestnico	povestnica	NOUN	1	correct	TRUE			
dam	dati	VERB	1	features	FALSE	2	features-1	
zvédela	zvédeti	VERB	1	lemma	FALSE	122	lemma-1	
pogube	poguba	NOUN	1	features	FALSE	1	features-1	
gledé	gledé	NOUN	1	lemmupos	FALSE	99	lemmupos-1	
haha	hah	VERB	1	lemmupos	FALSE	83	lemmupos-1	
poprej	poprej	ADV	1	correct	TRUE			
majnard	majnard	PROPN	1	correct	TRUE			
skrila	skriti	VERB	1	correct	TRUE			
malvino	malvina	PROPN	1	features	FALSE	87	features-1	
grajščak	grajščak	NOUN	1	lemma	FALSE	53	lemma-1	
opravljena	opravljen	ADJ	1	correct	TRUE			
zapiskov	zapisek	NOUN	1	correct	TRUE			
jetnikov	jetnik	NOUN	1	correct	TRUE			
hodniku	hodnik	NOUN	1	correct	TRUE			
zamudi	zamuditi	VERB	1	correct	TRUE			
podkovan	podkovan	ADJ	1	correct	TRUE			
blaž	blaž	PROPN	1	correct	TRUE			
krik	krik	NOUN	1	correct	TRUE			
naukov	nauk	NOUN	1	correct	TRUE			
glav	glava	NOUN	1	correct	TRUE			
alarmirani	alarmiran	ADJ	1	correct	TRUE			
brzo	brzo	ADV	1	correct	TRUE			
deve	deva	NOUN	1	correct	TRUE			
plavali	plavati	VERB	1	correct	TRUE			
dvorilcu	dvorilec	NOUN	1	features	FALSE	39	features-1	
oklenivši	oklenivšiti	ADJ	1	lemmupos	FALSE	113	lemmupos-1	
dopolnil	dopolniti	VERB	1	correct	TRUE			
pešteno	pešten	ADJ	1	lemma	FALSE	19	lemma-1	
protivno	protiven	ADJ	1	correct	TRUE			
srebro	srebro	NOUN	1	correct	TRUE			
odgovarjajo	odgovarjati	VERB	1	correct	TRUE			
ako	ako	NOUN	1	upos	FALSE	65	upos-1	
napolnil	napolniti	VERB	1	correct	TRUE			
gosta	gost	AUX	1	upos	FALSE	22	upos-1	
trenotek	trenotek	NOUN	2	lemma	FALSE	3	lemma-2	
popovcih	popovci	PROPN	1	correct	TRUE			
mornar	mornar	NOUN	1	features	FALSE	37	features-1	
posebno	poseben	ADV	2	lemma	FALSE	4	lemma-2	
obupnosti	obupnost	NOUN	1	correct	TRUE			
bode	boda	NOUN	2	lemmupos	FALSE	3	lemmupos-2	
ekscelencas	ekscelencas	NOUN	1	lemma	FALSE	22	lemma-1	
lesti	lest	NOUN	1	features	FALSE	26	features-1	
odpotovali	odpotovati	VERB	1	features	FALSE	89	features-1	
svakinja	svakinja	NOUN	1	lemma	FALSE	100	lemma-1	
riharda	rihard	PROPN	1	features	FALSE	6	features-1	
marjetica	marjetica	PROPN	2	correct	TRUE			
gori	gori	NOUN	1	upos	FALSE	72	upos-1	
vzkliknil	vzklikniti	VERB	2	correct	TRUE			
okamenel	okameneti	VERB	1	lemmupos	FALSE	124	lemmupos-1	
presunila	presuniti	VERB	1	correct	TRUE			
aha	aha	VERB	1	lemmupos	FALSE	46	lemmupos-1	
storimo	storiti	VERB	2	correct	TRUE			
jezno	jezna	ADJ	1	lemmupos	FALSE	88	lemmupos-1	
zmerjaj	zmerjati	ADV	1	upos	FALSE	32	upos-1	
sorijevim	sorijev	ADJ	1	correct	TRUE			
trepetajočim	trepetajoč	ADJ	1	correct	TRUE			
oblakov	oblak	NOUN	1	correct	TRUE			
hanuma	hanum	VERB	1	lemmupos	FALSE	85	lemmupos-1	
razidejo	raziti	VERB	1	correct	TRUE			
strašnej	strašneja	PRON	1	lemmupos	FALSE	91	lemmupos-1	
rogulin	rogulin	PROPN	2	correct	TRUE			
nevarnostim	nevarnost	NOUN	1	correct	TRUE			
peli	peti	VERB	1	features	FALSE	25	features-1	
baš	bati	NOUN	1	lemmupos	FALSE	36	lemmupos-1	
zvezdano	zvezdano	ADJ	1	lemmupos	FALSE	40	lemmupos-1	
onemoglih	onemogel	ADJ	1	correct	TRUE			
srebroviti	srebrovit	ADJ	1	correct	TRUE			
videč	videč	DET	1	upos	FALSE	60	upos-1	
sloveni	sloven	ADJ	1	upos	FALSE	40	upos-1	
oskrbnik	oskrbnik	NOUN	1	correct	TRUE			
nejevoljnim	nejevoljen	ADJ	1	correct	TRUE			
pak	paka	NOUN	1	lemmupos	FALSE	53	lemmupos-1	
številnostjo	številnost	NOUN	1	correct	TRUE			
nabrusil	nabrusiti	VERB	1	correct	TRUE			
prelomil	prelomiti	VERB	1	correct	TRUE			
kosili	kositi	VERB	1	lemma	FALSE	140	lemma-1	
posegali	posegati	VERB	1	features	FALSE	7	features-1	
ranjena	ranjen	ADJ	1	correct	TRUE			
svesti	svest	NOUN	1	correct	TRUE			
človekoljubnost	človekoljubnost	NOUN	1	lemma	FALSE	114	lemma-1	
prav	praviti	PART	1	lemma	FALSE	107	lemma-1	
malvino	malvina	PROPN	1	correct	TRUE			
križale	križati	VERB	1	correct	TRUE			
dedne	deden	ADJ	1	correct	TRUE			
rasti	rast	VERB	1	upos	FALSE	28	upos-1	
denarja	denarje	NOUN	1	lemma	FALSE	38	lemma-1	
trobenta	trobent	NOUN	1	lemma	FALSE	143	lemma-1	
drugam	drugati	ADV	1	lemma	FALSE	141	lemma-1	
potrpel	potrpeti	VERB	1	correct	TRUE			
češkova	češkov	ADJ	1	correct	TRUE			
izvrstno	izvrsten	ADJ	1	features	FALSE	4	features-1	
hrabro	hrabro	NOUN	1	upos	FALSE	34	upos-1	
kazale	kazati	VERB	1	correct	TRUE			
počitku	počitek	NOUN	1	correct	TRUE			
lakta	lakt	ADJ	1	lemmupos	FALSE	54	lemmupos-1	
zarana	zaran	ADJ	1	lemmupos	FALSE	10	lemmupos-1	
pojasnjenje	pojasnjenje	NOUN	1	lemma	FALSE	149	lemma-1	
zadosti	zadost	ADV	1	lemma	FALSE	130	lemma-1	
skritemu	skrit	ADJ	1	lemma	FALSE	17	lemma-1	
šlevo	šleva	NOUN	1	correct	TRUE			
javnej	javnej	NOUN	1	lemmupos	FALSE	105	lemmupos-1	
mrtva	mrtvo	ADJ	1	lemma	FALSE	229	lemma-1	
vzamem	vzeti	NOUN	1	upos	FALSE	18	upos-1	
trudna	truden	NOUN	1	upos	FALSE	62	upos-1	
odmevalo	odmevati	VERB	1	features	FALSE	93	features-1	
misli	misliti	NOUN	1	lemma	FALSE	110	lemma-1	
pripetilo	pripetiti	VERB	1	correct	TRUE			
nalezel	nalesti	VERB	1	correct	TRUE			
poseže	poseža	VERB	1	lemma	FALSE	28	lemma-1	
dozdeva	dozdevati	VERB	1	correct	TRUE			
razvleklo	razvleči	VERB	1	correct	TRUE			
povešenimi	povešen	ADJ	1	features	FALSE	18	features-1	
hudiča	hudič	PROPN	1	upos	FALSE	47	upos-1	
pridvorne	pridvoren	ADJ	1	correct	TRUE			
požívi	požíviti	VERB	1	lemma	FALSE	154	lemma-1	
dvojico	dvojica	NOUN	1	correct	TRUE			
sijaj	sijaj	NOUN	1	correct	TRUE			
jej	jej	NOUN	1	lemmupos	FALSE	79	lemmupos-1	
oče	oče	ADJ	1	upos	FALSE	3	upos-1	
križevniško	križevniški	ADJ	1	correct	TRUE			
plamteli	plamteti	VERB	1	features	FALSE	8	features-1	
stari	star	VERB	1	upos	FALSE	74	upos-1	
budalosti	budalost	NOUN	1	correct	TRUE			
kontesa	kontes	NOUN	1	lemma	FALSE	99	lemma-1	
gorjá	gorjá	NOUN	1	lemma	FALSE	26	lemma-1	
reditelj	reditelj	NOUN	1	correct	TRUE			
temino	temina	NOUN	1	correct	TRUE			
groznim	grozen	ADJ	1	correct	TRUE			
žrtvuje	žrtvovati	VERB	1	features	FALSE	31	features-1	
smijoč	smijoč	NOUN	1	lemmupos	FALSE	76	lemmupos-1	
nizdol	nizdol	ADV	1	lemma	FALSE	123	lemma-1	
oporekujem	oporekovati	VERB	1	lemma	FALSE	1	lemma-1	
orožji	orožje	ADJ	1	upos	FALSE	67	upos-1	
pravi	prava	NOUN	1	lemmupos	FALSE	43	lemmupos-1	
linica	linica	NOUN	1	correct	TRUE			
toplicah	toplice	NOUN	1	upos	FALSE	9	upos-1	
očetovih	očetov	ADJ	1	correct	TRUE			
matijec	matijec	PROPN	2	correct	TRUE			
dane	dan	ADJ	1	features	FALSE	42	features-1	
potu	pot	NOUN	2	correct	TRUE			
sloveč	sloveč	CCONJ	1	upos	FALSE	63	upos-1	
bojišča	bojišče	NOUN	1	correct	TRUE			
mojim	moj	DET	1	correct	TRUE			
poslednje	poslednji	ADJ	1	lemma	FALSE	128	lemma-1	
straši	strašiti	VERB	1	correct	TRUE			
kesanja	kesanje	NOUN	1	correct	TRUE			
odločnejše	odločen	ADJ	1	lemmupos	FALSE	98	lemmupos-1	
tvojima	tvojim	PRON	1	lemmupos	FALSE	109	lemmupos-1	
gernau	gerna	NOUN	1	lemmupos	FALSE	69	lemmupos-1	
smodke	smodek	NOUN	1	lemma	FALSE	111	lemma-1	
molčanje	molčanje	NOUN	1	correct	TRUE			
deževnega	deževen	ADJ	1	correct	TRUE			
bodi	biti	VERB	1	upos	FALSE	42	upos-1	
dolžnostmi	dolžnost	NOUN	1	correct	TRUE			
uzrok	uzrok	NOUN	1	lemma	FALSE	70	lemma-1	
vstane	vstati	NOUN	1	upos	FALSE	66	upos-1	
walter	walter	PROPN	1	correct	TRUE			
bomo	biti	VERB	1	upos	FALSE	5	upos-1	
leonora	leonora	PROPN	1	correct	TRUE			
nevidnih	neviden	ADJ	1	correct	TRUE			
razširjeno	razširjen	ADJ	1	correct	TRUE			
prišlec	prišlec	NOUN	2	correct	TRUE			
poznejše	pozen	ADJ	1	features	FALSE	13	features-1	
svečo	sveča	NOUN	1	correct	TRUE			
poluglasno	poluglasen	ADJ	1	lemmupos	FALSE	24	lemmupos-1	
drug	drug	NOUN	1	upos	FALSE	8	upos-1	
pekočem	pekoč	ADJ	1	features	FALSE	5	features-1	
urban	urban	PROPN	1	correct	TRUE			
prvič	prvič	NOUN	1	upos	FALSE	7	upos-1	
ume	um	VERB	1	lemma	FALSE	72	lemma-1	
zaupala	zaupati	VERB	1	features	FALSE	79	features-1	
sezidati	sezidati	VERB	1	features	FALSE	85	features-1	
mari	mar	NOUN	1	upos	FALSE	122	upos-1	
traje	trajati	VERB	1	correct	TRUE			
virida	virida	PROPN	1	correct	TRUE			
koščku	košček	NOUN	1	correct	TRUE			
usten	usten	ADJ	1	lemmupos	FALSE	15	lemmupos-1	
držeč	držeč	CCONJ	1	upos	FALSE	61	upos-1	
milica	milic	PROPN	1	lemma	FALSE	52	lemma-1	
ljubosumno	ljubosumno	ADV	1	correct	TRUE			
važnega	važen	ADJ	1	correct	TRUE			
minder	minder	NOUN	1	correct	TRUE			
bodete	bodet	VERB	1	lemmupos	FALSE	86	lemmupos-1	
klicalo	klicati	VERB	1	features	FALSE	30	features-1	
veselo	vesel	ADV	1	lemma	FALSE	121	lemma-1	
najlepši	lep	NOUN	1	upos	FALSE	35	upos-1	
nanda	nanda	PART	1	lemmupos	FALSE	3	lemmupos-1	
gorička	goriček	NOUN	1	upos	FALSE	48	upos-1	
verjetno	verjetno	ADJ	1	lemma	FALSE	142	lemma-1	
seže	sež	VERB	1	lemma	FALSE	13	lemma-1	
modri	moder	ADJ	1	features	FALSE	80	features-1	
kortež	kortež	NOUN	1	correct	TRUE			
marjetica	marjetica	PROPN	1	features	FALSE	23	features-1	
salda	salda	PROPN	1	correct	TRUE			
snežnikov	snežnik	NOUN	1	correct	TRUE			
svak	svak	NOUN	1	correct	TRUE			
prikupil	prikupiti	VERB	1	correct	TRUE			
bližali	bližati	VERB	1	correct	TRUE			
zmršeno	zmršen	ADJ	1	correct	TRUE			
kovača	kovač	NOUN	1	correct	TRUE			
prepiustite	prepiustiti	VERB	1	lemma	FALSE	5	lemma-1	
dvorjani	dvorjan	NOUN	1	correct	TRUE			
obesimo	obesiti	VERB	1	features	FALSE	14	features-1	
m	m	ADJ	1	correct	TRUE			
šum	šum	NOUN	2	correct	TRUE			
spremiti	spremiti	VERB	1	correct	TRUE			
ponižno	ponižno	ADV	1	correct	TRUE			
možakarja	možakarjati	VERB	1	lemmupos	FALSE	49	lemmupos-1	
uravná	uravná	NOUN	1	lemmupos	FALSE	50	lemmupos-1	
klaneta	klanet	VERB	1	upos	FALSE	2	upos-1	
kedar	kedar	SCONJ	1	lemma	FALSE	97	lemma-1	
gospodična	gospodičen	ADJ	1	lemmupos	FALSE	104	lemmupos-1	
osvetila	osvetiti	VERB	2	correct	TRUE			
zavpije	zavpiti	VERB	1	features	FALSE	70	features-1	
dvorišča	dvorišče	NOUN	1	correct	TRUE			
pridvornega	pridvoren	ADJ	1	correct	TRUE			
sv	sv	NOUN	2	tokenization	FALSE	1	tokenization-2	
izogibala	izogibati	VERB	1	correct	TRUE			
jej	o	ADV	1	lemmupos	FALSE	56	lemmupos-1	
vtepel	vtepeti	VERB	1	lemma	FALSE	90	lemma-1	
jedva	jedva	PRON	1	upos	FALSE	64	upos-1	
prebudila	prebuditi	VERB	1	correct	TRUE			
hrabril	hrabriti	VERB	1	features	FALSE	27	features-1	
kadila	kaditi	VERB	1	correct	TRUE			
osobno	osoben	ADJ	1	lemma	FALSE	20	lemma-1	
spozabila	spozabiti	VERB	1	lemma	FALSE	65	lemma-1	
popraviti	popraviti	VERB	1	correct	TRUE			
oglušilo	oglušilo	VERB	1	lemma	FALSE	145	lemma-1	
povém	povéti	VERB	1	lemma	FALSE	29	lemma-1	
siten	siten	PROPN	1	lemmupos	FALSE	97	lemmupos-1	
prežalostno	prežalosten	ADJ	1	correct	TRUE			
trdih	trdi	ADJ	1	lemma	FALSE	71	lemma-1	
razgret	razgret	NOUN	1	lemmupos	FALSE	90	lemmupos-1	
brezkonečnem	brezkonečen	ADJ	1	lemma	FALSE	60	lemma-1	
prestraši	prestrašiti	VERB	1	correct	TRUE			
združeni	združen	ADJ	1	correct	TRUE			
nadsvečeniku	nadsvečenik	NOUN	1	correct	TRUE			
govornika	govornik	NOUN	2	correct	TRUE			
ovijali	ovijati	VERB	1	correct	TRUE			
pokojna	pokojen	ADJ	1	correct	TRUE			
izhajali	izhajati	VERB	1	correct	TRUE			
zmenil	zmeniti	VERB	1	correct	TRUE			
pojde	pojti	VERB	1	lemma	FALSE	23	lemma-1	
ročico	ročica	NOUN	1	correct	TRUE			
finica	finica	NOUN	1	upos	FALSE	23	upos-1	
druščine	druščiniti	NOUN	1	lemma	FALSE	127	lemma-1	
slavni	slaven	ADJ	1	correct	TRUE			
milo	milo	NOUN	1	correct	TRUE			
spretne	spreten	ADJ	1	correct	TRUE			
kraj	kraj	PART	1	upos	FALSE	77	upos-1	
leščerbe	leščerba	NOUN	1	correct	TRUE			
galjot	galjota	NOUN	1	lemma	FALSE	27	lemma-1	
zmenjeno	zmenjen	ADJ	1	correct	TRUE			
markizo	markiza	NOUN	1	correct	TRUE			
sramežljivo	sramežljiv	ADJ	1	lemmupos	FALSE	33	lemmupos-1	
gospodprofesor	gospodprofesor	NOUN	1	tokenization	FALSE	5	tokenization-1	
jej	jej	ADV	1	lemmupos	FALSE	111	lemmupos-1	
pavovih	pavov	ADJ	1	features	FALSE	65	features-1	
mokre	moker	NOUN	1	correct	TRUE			
milo	milo	NOUN	1	lemmupos	FALSE	59	lemmupos-1	
globokega	globok	ADJ	2	correct	TRUE			
distance	distanca	NOUN	1	correct	TRUE			
krasno	krasen	ADJ	1	correct	TRUE			
izbirčen	izbirčen	ADJ	1	correct	TRUE			
nemirno	nemirno	ADV	1	correct	TRUE			
vé	vé	NOUN	2	lemmupos	FALSE	1	lemmupos-2	
pažetu	pažet	NOUN	1	lemma	FALSE	66	lemma-1	
damjan	damjan	PROPN	1	correct	TRUE			
obžaluješ	obžalovati	VERB	1	features	FALSE	21	features-1	
priredi	prirediti	VERB	1	correct	TRUE			
arabela	arabel	ADJ	1	lemmupos	FALSE	25	lemmupos-1	
veha	veh	PROPN	1	lemma	FALSE	102	lemma-1	
šepec	šepec	PROPN	1	lemma	FALSE	150	lemma-1	
prikazen	prikazen	ADJ	1	upos	FALSE	70	upos-1	
otavo	otava	NOUN	1	correct	TRUE			
dohitimo	dohititi	VERB	1	lemma	FALSE	4	lemma-1	
vznemirjali	vznemirjati	VERB	1	correct	TRUE			
hotel	hoteti	NOUN	1	upos	FALSE	39	upos-1	
razsodnost	razsodnost	NOUN	1	features	FALSE	84	features-1	
bodeš	bosti	X	1	lemmupos	FALSE	106	lemmupos-1	
zádrugi	zádrug	ADJ	1	lemmupos	FALSE	71	lemmupos-1	
korena	koren	PROPN	1	lemma	FALSE	69	lemma-1	
popisuje	popisovati	VERB	1	correct	TRUE			
majorju	majorje	PROPN	1	lemmupos	FALSE	2	lemmupos-1	
zablisnila	zablisniti	VERB	1	correct	TRUE			
duhoven	duhoven	ADJ	2	correct	TRUE			
gradič	gradič	NOUN	1	correct	TRUE			
barbarski	barbarski	ADJ	1	correct	TRUE			
gosti	gost	NOUN	1	features	FALSE	81	features-1	
istina	istina	NOUN	1	correct	TRUE			
skokov	skok	NOUN	1	correct	TRUE			
strmolskega	strmolski	ADJ	1	correct	TRUE			
pritožili	pritožiti	VERB	1	correct	TRUE			
cilja	cielj	PROPN	1	lemma	FALSE	126	lemma-1	
márica	márica	PROPN	1	lemma	FALSE	125	lemma-1	
dopadel	dopasti	VERB	1	correct	TRUE			
bogokletnik	bogokletnik	NOUN	1	correct	TRUE			
namenjenim	namenjen	ADJ	1	correct	TRUE			
prerahlo	prerahti	VERB	1	lemmupos	FALSE	26	lemmupos-1	
naglasom	naglas	NOUN	1	correct	TRUE			
padle	pasti	VERB	1	correct	TRUE			
mozolki	mozolka	NOUN	1	upos	FALSE	17	upos-1	
klicala	klicati	VERB	1	correct	TRUE			
ponagajati	ponagajati	VERB	1	features	FALSE	40	features-1	
drhtečim	drhteč	ADJ	1	correct	TRUE			
ozreti	ozreti	VERB	1	correct	TRUE			
glavo	glava	ADJ	1	upos	FALSE	54	upos-1	
vzgojena	vzgojen	ADJ	1	correct	TRUE			
voščil	voščiti	VERB	1	correct	TRUE			
